Treatment,TRIAL_NO.,Exposure duration (min),MALE_SPL_PRE_EXPO(dB),CHIRP_RATE_PRE_EXPO_3min(s)
No playback at start,106,5,62.3,1.96
,,,,
No playback at start,107,2,63.5,1.84
,,,,
No playback at start,109,2,62.1,1.65
,,,,
No playback at start,112,10,61.7,1.76
,,,,
No playback at start,113,0,64.3,1.72
,,,,
No playback at start,115,10,63.2,1.88
,,,,
No playback at start,120,10,62.9,1.73
,,,,
No playback at start,121,10,62.9,1.9
,,,,
No playback at start,122,0,65.7,1.66
,,,,
No playback at start,123,5,62.6,1.58
,,,,
No playback at start,124,5,63.2,1.8
,,,,
No playback at start,125,5,62.5,1.72
,,,,
No playback at start,126,0,62.6,1.64
,,,,
No playback at start,127,5,61.6,1.71
,,,,
No playback at start,128,5,60.1,1.57
,,,,
No playback at start,129,2,63,1.64
,,,,
No playback at start,130,2,63.3,1.74
,,,,
No playback at start,131,0,63.3,1.85
,,,,
No playback at start,133,2,62.7,2.18
,,,,
No playback at start,134,2,61.7,2.18
,,,,
No playback at start,135,2,61.5,1.78
,,,,
No playback at start,136,0,60.4,1.86
,,,,
No playback at start,137,0,55.8,1.28
,,,,
No playback at start,138,5,60.7,1.88
,,,,
No playback at start,139,0,65.7,2
,,,,
No playback at start,140,5,64.2,1.81
,,,,
No playback at start,141,0,59.8,2.02
,,,,
No playback at start,142,0,62.5,1.84
,,,,
No playback at start,144,0,61.4,1.91
,,,,
No playback at start,145,0,60.2,1.39
,,,,
No playback at start,147,0,63.7,NaN
,,,,
No playback at start,148,0,65.4,1.47
,,,,
No playback at start,149,0,64.6,1.71
,,,,
No playback at start,150,0,60.3,1.71
,,,,
Playback at start,1,10,62.4,1.56
,,,,
Playback at start,2,10,63.4,1.7
,,,,
Playback at start,3,10,63.6,1.74
,,,,
Playback at start,4,10,NaN,NaN
,,,,
Playback at start,5,10,60.2,2.19
,,,,
Playback at start,6,10,64.5,1.91
,,,,
Playback at start,7,10,NaN,NaN
,,,,
Playback at start,8,10,NaN,NaN
,,,,
Playback at start,9,10,61.6,1.6
,,,,
Playback at start,10,10,64.1,1.76
,,,,
Playback at start,12,10,57.7,1.66
,,,,
Playback at start,13,10,59.9,2.24
,,,,
Playback at start,14,10,62.7,
,,,,
Playback at start,15,10,63.1,1.89
,,,,
Playback at start,17,10,NaN,1.86
,,,,
Playback at start,18,10,61.9,2.07
,,,,
Playback at start,19,10,62.5,1.65
,,,,
Playback at start,20,10,57.8,1.63
,,,,
Playback at start,22,10,64.6,1.79
,,,,
Playback at start,23,10,59.6,1.53
,,,,
Playback at start,24,10,62.1,1.79
,,,,
Playback at start,25,10,61.6,1.77
,,,,
Playback at start,27,10,63.5,1.69
,,,,
Playback at start,28,10,61,1.66
,,,,
Playback at start,29,10,NaN,NaN
,,,,
Playback at start,30,10,NaN,NaN
,,,,
Playback at start,32,10,NaN,NaN
,,,,
Playback at start,33,10,63.1,2.03
,,,,
Playback at start,34,10,63,1.89
,,,,
Playback at start,36,10,NaN,NaN
,,,,
Playback at start,38,10,67.7,1.52
,,,,
Playback at start,39,10,61.3,1.82
,,,,
Playback at start,40,10,NaN,NaN
,,,,
Playback at start,41,10,64.5,1.95
,,,,
Playback at start,43,10,65.4,1.53
,,,,
Playback at start,44,10,NaN,NaN
,,,,
Playback at start,45,10,60.8,1.67
,,,,
Playback at start,46,10,NaN,NaN
,,,,
Playback at start,47,10,57.7,1.86
,,,,
Playback at start,48,10,NaN,NaN
,,,,
Playback at start,50,10,NaN,NaN
,,,,
Playback at start,51,10,62.2,1.52
,,,,
Playback at start,52,10,58,1.67
,,,,
Playback at start,53,10,59.4,1.74
,,,,
Playback at start,54,10,NaN,NaN
,,,,
Playback at start,55,10,NaN,NaN
,,,,
Playback at start,56,10,59.4,1.86
,,,,
Playback at start,57,10,65.2,1.98
,,,,
Playback at start,58,10,60.6,1.98
,,,,
Playback at start,59,10,NaN,NaN
,,,,
Playback at start,60,10,61.4,NaN
,,,,
Playback at start,61,10,NaN,NaN
,,,,
Playback at start,62,10,55.6,2.13
,,,,
Playback at start,63,10,NaN,NaN
,,,,
Playback at start,64,10,NaN,NaN
,,,,
Playback at start,65,10,59.6,1.83
,,,,
Playback at start,66,10,NaN,NaN
,,,,
Playback at start,67,10,57.7,1.88
,,,,
Playback at start,68,10,60,1.88
,,,,
Playback at start,69,10,NaN,NaN
